,Unnamed: 0,Season,Game_ID,PLAYER_NAME,Team,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
455241,634508,1987,28600805,Michael Jordan,CHI,"MAR 27, 1987",CHI vs. BOS,L,40,9,23.0,0.391,0.0,0.0,0.0,4,5.0,0.8,3.0,4.0,7.0,7.0,7.0,1.0,3.0,3.0,22,,0
455242,634534,1987,28600538,Michael Jordan,CHI,"FEB 05, 1987",CHI @ MIL,L,44,12,24.0,0.5,0.0,0.0,0.0,12,13.0,0.923,2.0,5.0,7.0,5.0,2.0,2.0,3.0,2.0,36,,0
455243,634533,1987,28600544,Michael Jordan,CHI,"FEB 10, 1987",CHI vs. PHL,W,41,11,22.0,0.5,0.0,0.0,0.0,7,9.0,0.778,2.0,1.0,3.0,4.0,3.0,1.0,4.0,4.0,29,,0
455244,634531,1987,28600566,Michael Jordan,CHI,"FEB 14, 1987",CHI @ NYK,W,37,15,24.0,0.625,0.0,1.0,0.0,3,5.0,0.6,0.0,2.0,2.0,8.0,3.0,3.0,2.0,2.0,33,,0
455245,634543,1987,28600438,Michael Jordan,CHI,"JAN 19, 1987",CHI @ IND,L,41,11,25.0,0.44,1.0,1.0,1.0,9,11.0,0.818,4.0,2.0,6.0,3.0,0.0,0.0,5.0,5.0,32,,0
455246,634550,1987,28600343,Michael Jordan,CHI,"JAN 02, 1987",CHI @ BOS,L,40,13,31.0,0.419,0.0,1.0,0.0,8,10.0,0.8,6.0,2.0,8.0,3.0,1.0,0.0,2.0,2.0,34,,0
455247,634549,1987,28600347,Michael Jordan,CHI,"JAN 03, 1987",CHI vs. DET,W,38,16,35.0,0.457,0.0,2.0,0.0,15,17.0,0.882,1.0,3.0,4.0,2.0,1.0,0.0,1.0,4.0,47,,0
455248,634548,1987,28600357,Michael Jordan,CHI,"JAN 06, 1987",CHI @ CLE,W,38,13,23.0,0.565,0.0,0.0,0.0,1,3.0,0.333,0.0,2.0,2.0,3.0,2.0,0.0,3.0,5.0,27,,0
455249,634547,1987,28600370,Michael Jordan,CHI,"JAN 08, 1987",CHI vs. POR,W,43,20,34.0,0.588,0.0,0.0,0.0,13,16.0,0.813,3.0,1.0,4.0,5.0,3.0,2.0,3.0,3.0,53,,0
455250,634546,1987,28600383,Michael Jordan,CHI,"JAN 10, 1987",CHI vs. NJN,W,36,8,24.0,0.333,0.0,0.0,0.0,15,15.0,1.0,1.0,6.0,7.0,5.0,2.0,1.0,4.0,3.0,31,,0
455251,634544,1987,28600427,Michael Jordan,CHI,"JAN 17, 1987",CHI vs. PHL,W,44,17,34.0,0.5,0.0,0.0,0.0,13,14.0,0.929,5.0,5.0,10.0,6.0,4.0,1.0,4.0,2.0,47,,0
455252,634545,1987,28600414,Michael Jordan,CHI,"JAN 15, 1987",CHI vs. HOU,L,43,17,43.0,0.395,1.0,4.0,0.25,8,9.0,0.889,1.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,43,,0
455253,634541,1987,28600455,Michael Jordan,CHI,"JAN 23, 1987",CHI vs. CLE,W,37,14,28.0,0.5,1.0,1.0,1.0,6,6.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,3.0,1.0,35,,0
455254,634540,1987,28600468,Michael Jordan,CHI,"JAN 24, 1987",CHI @ CLE,L,27,11,20.0,0.55,0.0,0.0,0.0,5,6.0,0.833,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,27,,0
